Accession Number,(X) Verified,Phylum,Class,Genus,Species,Country,Date Collected,Primary Collector,UUID,Verified
A69805,X,Ochrophyta,Phaeophyceae,Eisenia,bicyclis,Japan,1987 Dec 05,J. Tanaka,3B449B1F-19C6-4F46-A1EE-992FF0BBA1E6,03/17/2020
A51392,X,Ochrophyta,Phaeophyceae,Eisenia,bicyclis,Japan,1914 Jan,K. Kawada,7F0D8272-39AE-BF48-A686-B5AFA1C7E6F1,03/17/2020
A87650,X,Ochrophyta,Phaeophyceae,Eisenia,bicyclis,Japan,2007 Aug 25,Mitsuo Kajimura,F6A487F1-3A8F-1540-99F1-369130BB6D21,03/17/2020
A5445,X,Ochrophyta,Phaeophyceae,Eisenia,galapagensis,Ecuador,1934 Jan 20,Wm. R. Taylor,98900FB4-777A-6249-B5AF-DD805083412A,03/17/2020
A21345,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1965 Jul 04,Arthur C. Mathieson,9D3F0987-6B68-924E-82EC-BDF7AFCD38AD,03/17/2020
A39571,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jan 18,Ken Baillie,A8542A7B-9599-1E43-B435-E2111773B2E1,03/17/2020
A39738,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 May 03,P. G. Harrison,B3360032-D64D-1E4F-9EA2-9BD52ADBDADA,03/17/2020
A2457,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1953 Jul 28,Robert F. Scagel,F69C90BF-8A10-B84C-BDB6-E3BA1320736F,03/17/2020
A332,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1919 Jul 27,R. K.,66E573B8-D613-7D48-9D6E-BCBD42155A8A,03/17/2020
A39356,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1916 Dec 11,Geo Fraser,1E7D4671-AB20-584B-913B-54545031C2DD,03/17/2020
A38686,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Sep 28,P. G. Harrison,22A1BC28-2A71-A448-8283-17958E5480A1,03/17/2020
A30133,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Jun 22,Ken Baillie,DD5F6334-A349-3D45-9F20-95F398CD4136,03/17/2020
A30365,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Jul 07,Patrick Chamut,3B2D463E-EF53-4446-A98B-7D0D9D7503EA,03/17/2020
A30783,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Jun 11,Ken Baillie,4B22808E-420A-7149-9B0A-05AF272472B0,03/17/2020
A29476,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 May 12,Ken Baillie,E4526CA2-BB3F-3345-A8D6-5E7F880A85D7,03/17/2020
A34874,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Jul 24,Danny R. Pace,3E044F09-4D9F-684C-B6B1-D75A84844F42,03/17/2020
A31487,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1967 Aug 05,Patrick Chamut,0D64F3D7-77A3-8E44-B03E-181E1E0254FE,03/17/2020
A33122,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 May 13,Patrick Chamut,72278E96-03F2-0744-8D4E-BD207F839A0D,03/17/2020
A17206,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1962 Jul 02,Tom B. Widdowson,98878C7F-F310-ED45-B109-0272E1514543,03/17/2020
A36758,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 15,Jim W. Markham,DD2E98EB-3CC4-8C4B-94E6-DCE4DE835B08,03/17/2020
A36811,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 15,Jim W. Markham,B7B6BAF4-5461-BB4A-9FE3-C954C9251020,03/17/2020
A54760,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1976 Mar 27,C. Tanner,2F3CDAB1-8294-A74B-ADCF-6DBE9431ADB9,03/17/2020
A22294,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1965 Jul 04,Jim W. Markham,D672959B-93F2-9F40-BD8A-9009FDEF08F0,03/17/2020
A4021,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 May 27,Tom B. Widdowson,C993236B-8E83-0744-AA03-BAB1E1F78A3F,03/17/2020
A55716,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1976 Mar 30,C. Tanner,30D8E56E-BC1D-2144-8418-E2EFFCEA6146,03/17/2020
A6859,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Aug,S. Neave,03663CA1-D5D0-624C-9AD4-E95E2E214C4B,03/17/2020
A6887,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Aug,S. Neave,952C3B59-A881-8840-BC0E-4F8519CC2416,03/17/2020
A6856,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 Aug,S. Neave,8745AD27-7F2F-C74C-B13B-67C39FD9C2C2,03/17/2020
A4022,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 May 27,Tom B. Widdowson,43F0F41A-67BD-554F-9FF5-A4B33724559C,03/17/2020
A4024,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 May 27,Tom B. Widdowson,5996984A-FA0A-E846-BCCC-607D5F6FCA80,03/17/2020
A4023,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 May 27,Tom B. Widdowson,9808DEBC-AEAD-A249-B305-A4298FC9BEDC,03/17/2020
A4025,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 May 27,Tom B. Widdowson,42A60CA9-6FA3-E748-AE15-6BE7B7DC2ED5,03/17/2020
A4026,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1959 May 27,Tom B. Widdowson,01A199EE-6535-7A47-9292-5633FEEB1126,03/17/2020
A16164,X,Ochrophyta,Phaeophyceae,Encyothalia,cliftoni,Australia,1957 Dec 12,Robert F. Scagel,C5618E5E-C46E-B749-8A0C-771C9D9D9759,03/17/2020
A2744,X,Ochrophyta,Phaeophyceae,Encyothalia,cliftoni,Australia,1957 Dec 12,Robert F. Scagel,0DD4CFF0-EDD8-2240-BEAD-7C00C664E1F7,03/17/2020
A13926,X,Ochrophyta,Phaeophyceae,Encyothalia,cliftoni,Australia,1956 Jan 27,H.B.S. Womersley,C80D74D6-2CA2-D648-9B60-D7B81691AAE9,03/17/2020
A69196,X,Ochrophyta,Phaeophyceae,Encyothalia,cliftonii,Australia,1985 Feb 11,H.B.S. Womersley,4A3D9F35-3040-3840-A47C-DC090B82E37C,03/17/2020
A30611,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,United States,1949 Jan 30,E. Yale Dawson,7BB0B8A9-CE18-104E-A941-B035D93EB18D,03/17/2020
A334,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,United States,1907,S. P. Monks,5B6FE911-350C-5240-87F7-248217419658,03/17/2020
A30612,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,United States,1962 Nov 03,J. Newhouse,1E364E57-E17D-9049-B187-76890669090D,03/17/2020
A30613,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,Mexico,1946 Apr 13,E. Yale Dawson,A928C339-A5DD-B74E-97F3-F87DF8DFF3AA,03/17/2020
A7332,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,Japan,1952 Apr 12,None,CC1B7DF2-F71E-F247-885B-561221DED6EA,03/17/2020
A59006,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,Taiwan,1970 Apr 20,Y. M. Chiang,B4B70509-B99C-8A4D-8BF3-073E774B58B0,03/17/2020
A59017,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,Taiwan,1970 Apr 20,Y. M. Chiang,FFC0E808-7A7D-8041-8472-C540FA753879,03/17/2020
A58987,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,Taiwan,1976 Feb 15,Y. M. Chiang,930EA3E6-8754-CB4C-AE60-8FF5D3D163E3,03/17/2020
A87644,X,Ochrophyta,Phaeophyceae,Endarachne,binghamiae,New Zealand,2006 Mar 07,Mitsuo Kajimura,03CD03F6-3E24-6A4E-85D2-D46E41C85DD4,03/17/2020
A53951,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1975 Jun 25,Tom B. Widdowson,0A9F3555-914E-3346-83AA-9BCF65459956,03/17/2020
A36813,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 17,Jim W. Markham,5436A144-BABD-0C4A-A933-203D334008C4,03/17/2020
A36812,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 17,Jim W. Markham,7B6E8023-504F-124B-ABD7-A18F5A2B71A3,03/17/2020
A36810,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 15,Jim W. Markham,4CAD25A5-21C7-5449-A37E-E720BEF02DDE,03/17/2020
A19147,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1964 Oct 07,D. W.,54F06E01-AED2-5543-87E0-3A6310137C7E,03/17/2020
A17814,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1964 Jun 09,Arthur C. Mathieson,3A0684C6-E8DF-1A42-A54A-9D65138F6316,03/17/2020
A41345,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 01,Ken Baillie,FBCC4B5B-571E-AD41-84EC-5A674EA8048D,03/17/2020
A41346,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jul 01,Ken Baillie,9DFCF85A-D8E7-E746-ACAE-D86B9026CE8D,03/17/2020
A41107,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 29,Ken Baillie,EB2CE34F-3F5B-7347-ACB9-088BF36235CC,03/17/2020
A41543,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 29,Ken Baillie,574DBB47-30DF-BC45-A941-95654EBECCE7,03/17/2020
A40914,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 19,Danny R. Pace,2F233B8D-751F-5E4B-8AF8-0D54ECC6E8EC,03/17/2020
A24241,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1964 Jun 11,Robert K.S. Lee,27FEADF2-0E8A-6249-9468-0DBF92176742,03/17/2020
A19725,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1964 Oct 06,Robert K.S. Lee,111EE632-353C-7346-A8DA-54A180285321,03/17/2020
A18097,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1964 Jun 07,Robert K.S. Lee,5C9EF322-96B8-A348-A0A6-650ABC02C408,03/17/2020
A24507,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 11,Jim W. Markham,5D2DBFAB-0932-4747-A66D-6FB694CFB249,03/17/2020
A19949,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1964 Jun 24,C. M. Stafford,CE17670D-0102-834B-8B14-17883BEC47CC,03/17/2020
A328,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1937,M. Armstrong,DBF714DD-C802-0241-93B0-D41C762FCB90,03/17/2020
A331,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1937,M. Armstrong,CA2E8E52-A6ED-4345-8DD8-B4735E42C6DB,03/17/2020
A329,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1937,M. Armstrong,51E210AB-5256-8145-8407-FABDE5954A70,03/17/2020
A25124,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 10,Patrick Chamut,F3F739FC-D373-214E-AAEB-E17172B9D53B,03/17/2020
A25123,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 10,Patrick Chamut,78C05AB8-EE23-DE41-909F-66594697154A,03/17/2020
A25125,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 10,Patrick Chamut,2BD9D47B-F5B1-DD42-836D-54B3802B302E,03/17/2020
A25122,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 09,Jim W. Markham,7DC9DBF9-FE78-724B-A72A-408853FBE3E5,03/17/2020
A24426,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 09,Jim W. Markham,A5055259-7D70-084E-BDE6-903028B18AD1,03/17/2020
A24662,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 09,Ken Baillie,1624FE17-DF30-1745-9AE2-AE6574CBB608,03/17/2020
A24663,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,NA,Ken Baillie,30EF99A5-651F-BD43-809E-A61C65801FD0,03/17/2020
A2851,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1958 May 21,Robert F. Scagel,3DB023D5-3F91-8848-A089-7F26FC4F23AB,03/17/2020
A51440,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1974 May 11,Jim W. Markham,D0404335-3DF0-EB42-9FA1-C8D024A71E8A,03/17/2020
A5036,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1958 May 20,Robert F. Scagel,B4D6A6C2-ADCF-9B43-A6BB-2BAA431A95A4,03/17/2020
A5035,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1958 May 19,Robert F. Scagel,724DD55E-B29F-8746-9CFE-8B3A68D7DCBB,03/17/2020
A62800,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1979 May 03,Dr. E. B. Lippert,06F25F07-B7AD-654D-BB39-17080338FF7B,03/17/2020
A62097,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1979 Aug 09,E. Henry,BB45D39A-79F3-7B46-B2CE-18F1F2EBDAE7,03/17/2020
A8498,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1958 Apr,L. Kemp,6D6766D2-5A03-6F4D-A0D0-D738DDFBF80D,03/17/2020
A2354,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1955 Aug 17,Robert F. Scagel,439A214D-3790-B740-8C21-17A544450051,03/17/2020
A25121,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 02,Patrick Chamut,B61D466C-CFE2-174C-B4EA-C3B395A1F1DC,03/17/2020
A24969,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1966 Jun 02,Jim W. Markham,FF463087-8921-C04A-9F64-39992F439A9D,03/17/2020
A54193,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1975 Nov 03,Michael W. Hawkes,AC04D4BC-5BA9-7341-8FBA-580E28AA1CD2,03/17/2020
A4013,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 27,Tom B. Widdowson,D0356589-4B75-254C-9EC0-DC13940F6FE6,03/17/2020
A6990,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 Jun 24,Tom B. Widdowson,B44E9131-0250-4F4C-BCE2-FF8689A17AC9,03/17/2020
A4463,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Jul 24,Tom B. Widdowson,7B1A91F9-5072-0D4A-9B4D-8925D3178EF7,03/17/2020
A3183,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1957 Jul 14,Tom B. Widdowson,F577430B-8DCC-3E45-81B7-52D547352E1F,03/17/2020
A3181,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1958 Mar 11,Tom B. Widdowson,C8E41A1E-9968-4945-B690-E06DA0414935,03/17/2020
A3185,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1958 Jan 31,Tom B. Widdowson,1FB9BF91-F5A5-5742-B5BE-0A7CD2BA2691,03/17/2020
A82409,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1996 Feb 20,Tracy Smith,AC0710EB-047F-C34B-BC1C-BF925C1A1781,03/17/2020
A86654,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,2003 Apr 18,Sandra C. Lindstrom,6DEC9347-438A-8849-892A-D58E88A4496E,03/17/2020
A84136,x,Ochrophyta,Phaeophyceae,Egregia,menziesii,United States,1972 Dec 23,Sandra C. Lindstrom,EA6864AC-2785-D34D-9B2D-06B76FB2117E,03/17/2020
A24349,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,Japan,1961 Nov 23,Tom B. Widdowson,6DBE895E-78FD-0146-B7BC-14371B3F4061,03/17/2020
A24327,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,Japan,1961 Nov 23,Tom B. Widdowson,E240C0C2-9490-6B4B-AF82-3108EB9D761C,03/17/2020
A44197,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1971 Jan 14,Danny R. Pace,6F3EA97C-7AB8-FE4B-AC74-857029EB0458,03/17/2020
A27838,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 22,Ken Baillie,27D6B631-90DD-AD4E-A512-CF1C240271B3,03/17/2020
A27871,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 21,Patrick Chamut,D2E19DC8-99CA-5A47-A637-7824F44CFF90,03/17/2020
A27907,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 21,Allan Cattell,7B63BC00-2AE4-CF4C-9ACF-8C64511A102E,03/17/2020
A27734,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 19,Allan Cattell,A73EE93D-647A-1E4E-A26D-FD911BDDEB7E,03/17/2020
A27888,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 15,Patrick Chamut,7F2AD71A-A659-BC49-B735-05110414F8B0,03/17/2020
A27881,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 17,Allan Cattell,431E5FA6-7494-C34A-B70A-ECF28EB58E7B,03/17/2020
A27885,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 15,Jim W. Markham,5ACB6169-02F0-734A-900D-F37BAE6DF0BD,03/17/2020
A88169,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1984 Jun 29,Robert F. Scagel,55B578B0-3B0F-E346-86E4-85FBAFD2D244,03/17/2020
A65964,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1974 Jul 04,Sandra C. Lindstrom,BBA91382-A303-0A41-A095-4A2AFD771429,03/17/2020
A84399,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,2000 Aug 06,D.C. Lees,4DC275BF-A4BE-9041-A97B-A8E5FF8BD644,03/17/2020
A85522,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,2005 Jun 23,Nick C.,C7FBBC5C-A345-4A46-97B6-068ECF0AF139,03/17/2020
A86858,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,2003 Jun 13,S.M. Saupe,254FDDA0-A4F5-D141-999D-812670EC4F75,03/17/2020
A86859,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,2003 Jun 13,S.M. Saupe,0D5B86A8-EF08-524B-AA2B-C71C6A4DF1D7,03/17/2020
A86952,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,2004 Jul 30,Sandra C. Lindstrom,A07CA464-465A-D843-92E7-BCC588ED66E6,03/17/2020
A70797,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1987 Jul 10,K.A. Miller,19855CE1-3ED0-E247-87BE-F6C565326B0F,03/17/2020
A92504,X,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1980 Aug 03,Mike J. Wynne,DE459AD1-9929-C443-977A-FCDE20DC3B89,03/17/2020
A44010,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1971 Jan 12,Peter R. Newroth,F6099321-1AD8-8E4F-B2CA-48A68E65ECF0,03/17/2020
A44013,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1971 Jan 13,Peter R. Newroth,BF316A60-713E-A647-98D2-FAA212C4350D,03/17/2020
A21684,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 18,Louis D. Druehl,C843D515-D067-4746-9A0F-D6864BCA9EFD,03/17/2020
A21979,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 18,Louis D. Druehl,451A9031-2138-DD49-8CC9-3391F58CD0FD,03/17/2020
A21970,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 18,Jim W. Markham,FCE457F8-16FE-434B-BD3F-2CD9655A5E16,03/17/2020
A20754,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 18,Jim W. Markham,E7A6FFD2-13A8-3B40-A7C9-F757F0B4A101,03/17/2020
A21752,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 18,Jim W. Markham,E5A9CF50-0485-EC43-884D-0D05F60D05CB,03/17/2020
A21540,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 17,R. Driskill,5BA94A19-00E7-BB41-BBE3-AA4613ADC85B,03/17/2020
A20420,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 15,Arthur C. Mathieson,C6F4B0EE-BC00-2641-AF64-33FE46630BE8,03/17/2020
A20617,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 15,R. Driskill,53D06BB6-A44D-7C41-8D13-270DB271B6DE,03/17/2020
A20591,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 15,R. Driskill,24CAEA71-803F-4848-A956-A8D41AABD811,03/17/2020
A23586,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 30,J. Green,3A8B3072-C963-F64E-84A4-CD8762404584,03/17/2020
A23569,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 30,J. Green,E6390703-C60E-444B-8EBC-4CCBED106632,03/17/2020
A22614,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 30,Arthur C. Mathieson,2E3C3859-2DEB-684E-BCD4-420E93F68D31,03/17/2020
A22603,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 30,Arthur C. Mathieson,B6E91080-F582-BC48-8115-6542697B8E72,03/17/2020
A23204,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 30,Louis D. Druehl,818C893D-68E4-E549-A3AA-63E042637100,03/17/2020
A23540,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 30,Louis D. Druehl,A3222CAA-9107-2240-B966-349A46FD3B70,03/17/2020
A21217,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 29,R. Driskill,10C50A90-4D51-0C40-8645-4CAA88656D13,03/17/2020
A23671,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Dec 08,Jim W. Markham,92B79779-38EA-D74E-8B03-4C9185CB13F7,03/17/2020
A22970,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 03,Louis D. Druehl,5BF34531-06EE-2642-96F5-56896D82A0D0,03/17/2020
A22842,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 02,J. Green,C8E4F9D4-88D2-F947-A7D5-8778F6AE538B,03/17/2020
A21294,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 02,Arthur C. Mathieson,B3259D81-1399-CB4C-85D3-29C67C14A9CF,03/17/2020
A23609,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 02,Arthur C. Mathieson,6010D00A-5E36-964C-BF4B-E3FD9DC52037,03/17/2020
A22812,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 02,Louis D. Druehl,4941B69A-6596-0D46-BA18-008831DFEA6C,03/17/2020
A23594,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 01,R. Driskill,3A5CDB68-5BB3-874E-A7D1-B5F61D785E62,03/17/2020
A23208,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 01,R. Driskill,00203FF2-0AD9-F843-B211-414F2A492880,03/17/2020
A23590,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 01,R. Driskill,0A2CE64D-F960-EB44-AD59-5DFDB08BD210,03/17/2020
A22263,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 01,Louis D. Druehl,B26EDA94-03AB-9C4B-801C-0DEE37F3DA5C,03/17/2020
A23207,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jul 01,Arthur C. Mathieson,51C73E6C-0932-F24A-AC5A-C4128DE86A81,03/17/2020
A27395,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 23,R. Hill,F41FDF9C-9DD4-4840-B9A7-7B3B9A0CC47C,03/17/2020
A27394,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 24,Jim W. Markham,5047FCA8-C77E-E543-B284-83842AC07B82,03/17/2020
A27560,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 27,A. Cattell,88B2A6C9-66FB-D242-A666-A9D369A10F69,03/17/2020
A27393,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 27,A. Cattell,DC74A931-DBDB-654F-81AC-461C52EEAB89,03/17/2020
A27392,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 28,Jim W. Markham,4EC63DE7-2F40-8743-A0D6-D9F7A7A7CA7C,03/17/2020
A27695,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 28,Jim W. Markham,31A234E8-6558-6645-8322-D0CC1C7C19A1,03/17/2020
A27562,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 29,Jim W. Markham,F63923D6-1729-F04A-AC0E-C6C3B6ECC07B,03/17/2020
A27939,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Dec 11,Gordon Robin South,C0BEBAD3-19E0-D44A-B2A8-17FCB55714FE,03/17/2020
A26383,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 15,Jim W. Markham,3EE3F30C-FCD3-D741-A8E6-84299081FA5F,03/17/2020
A26681,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 16,Jim W. Markham,F135E12D-3857-7C45-AEEC-61020A17D979,03/17/2020
A26682,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 16,Patrick Chamut,31612F99-E7D0-C041-ADC3-C84862E98FF6,03/17/2020
A26873,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 17,Gordon Robin South,A2FE1A98-C528-A84F-AEEA-934F0B8ED4D6,03/17/2020
A26685,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 17,Gordon Robin South,683C618B-B97B-8143-BB2D-10E1A1F375B6,03/17/2020
A26687,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 17,Gordon Robin South,9DEA4D1D-8ACE-7C4E-BDD3-F49A802C6E98,03/17/2020
A26871,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 17,Patrick Chamut,EDB0F6E4-E15E-BE40-9E7A-C46E0FB10B6B,03/17/2020
