Herbarium BioBlitz,SCIE 001,,,,,,
10-Sep-19,,,,,,,
Student Name,Payton Mackwood,,,,,,
Student Name,Mickey Ordog,,,,,,
12-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
13-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
,,,,,,,
Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID
A22145,,Cymathaere,triplicata,United States,1965 Jul 01,Louis D. Druehl,26AF8C4A-DE31-4A44-93C1-BFF63B3A114A
A23152,,Cymathaere,triplicata,United States,1965 Jul 01,Arthur C. Mathieson,765CFC53-2CDA-BC41-8E01-BB6B95F192F2
A23151,,Cymathaere,triplicata,United States,1965 Jul 01,Arthur C. Mathieson,034E977D-5915-3348-8C36-0C5371AB7ECC
A23150,,Cymathaere,triplicata,United States,1965 Jul 01,Arthur C. Mathieson,ACEF5249-C309-BF4E-BF49-50BFBCE763F8
A23566,,Cymathaere,triplicata,United States,1965 Jun 30,J. Green,6EB2950A-E7B0-5742-855B-26BEC56E1ED1
A23153,,Cymathaere,triplicata,United States,1965 Jun 30,Arthur C. Mathieson,7F32E99E-F122-7843-8DD0-29DE74311ED7
A23154,,Cymathaere,triplicata,United States,1965 Jun 30,Arthur C. Mathieson,A0D282AB-9B36-E547-A241-08470C1C50EF
A23155,,Cymathaere,triplicata,United States,1965 Jun 30,Arthur C. Mathieson,187CAFB0-7E9A-9A4B-9E17-89FB186460DE
A21220,,Cymathaere,triplicata,United States,1965 Jun 30,Louis D. Druehl,C55CD6B0-123D-0340-AE8B-007773B1A30B
A21221,,Cymathaere,triplicata,United States,1965 Jun 30,Louis D. Druehl,AF99320A-3208-2E49-BBD7-A6136F934FF2
A21222,,Cymathaere,triplicata,United States,1965 Jun 30,Louis D. Druehl,FCF80AF0-5913-9740-B0E6-1A137EDA695D
A21817,,Cymathaere,triplicata,United States,1965 Jun 29,J. Green,C38E8329-83B0-1D44-B2BB-738E0EB66B91
A21818,,Cymathaere,triplicata,United States,1965 Jun 29,J. Green,80330706-A6AF-6A4F-85AD-66634B416367
A21802,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,5411605E-C872-5D4B-9E6C-130C8738547E
A21801,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,1A632FA7-9202-2F45-BF21-C65476D14037
A21800,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,F08A32E1-152A-2442-8D96-7F177A4504A8
A21803,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,0CC33497-3825-6C44-867E-EDF8D91AD6E9
A22073,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,73525269-3A39-AC40-922E-79B8A7E3E9C1
A22074,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,F73A78C2-9CB9-7445-A84D-4569A0EAC2E8
A21799,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,E0EDA420-503D-F446-970D-9C8FB41FF62D
A21798,,Cymathaere,triplicata,United States,1965 Jun 29,Arthur C. Mathieson,2AF7EABF-16BB-FD4E-9769-A93A13569397
A22794,,Cymathaere,triplicata,United States,1965 Jun 29,J. Green,C9DC593C-2E65-CA46-9D9A-9F575A079A55
A22797,,Cymathaere,triplicata,United States,1965 Jun 29,J. Green,E5FC8F28-317A-384D-B167-74F6DC1D77C5
A22795,,Cymathaere,triplicata,United States,1965 Jun 29,J. Green,7F8A20A1-DF80-1441-86B1-4B5868F6CF25
A22796,,Cymathaere,triplicata,United States,1965 Jun 29,J. Green,EBEDC2F0-4379-2F49-BAB0-DE0B628FD388
A9651,,Cymathaere,triplicata,United States,1960 Jul 12,Tom B. Widdowson,4C3930A4-6C86-A044-A6C4-FC030A3E855A
A27401,,Cymathaere,triplicata,United States,1966 Jul 23,Gordon Robin South,95803A22-C94E-F547-8F06-26E1473644DE
A27404,,Cymathaere,triplicata,United States,1966 Jul 27,A. Cattell,A180B943-D429-7942-96B1-777C66DB72B5
A27405,,Cymathaere,triplicata,United States,1966 Jul 27,A. Cattell,3CD11B60-83F7-C04E-AC3D-4726DC4D9C44
A27402,,Cymathaere,triplicata,United States,1966 Jul 24,Jim W. Markham,DF8B3DDA-C566-1244-B41C-2898AAF02CC1
A27403,,Cymathaere,triplicata,United States,1966 Jul 24,Patrick Chamut,F521F3AE-08D7-7A44-8076-E3A5F425C27D
A27051,,Cymathaere,triplicata,United States,1966 Jul 22,Gordon Robin South,90342C0E-AC73-C744-A12B-96A20367DB38
A27052,,Cymathaere,triplicata,United States,1966 Jul 22,Ken Baillie,3698F47A-E668-A341-8331-9381272268C5
A27053,,Cymathaere,triplicata,United States,1966 Jul 22,Patrick Chamut,0CAEF1D3-86BC-4F40-83F6-86558712D61B
A26856,,Cymathaere,triplicata,United States,1966 Jul 21,Jim W. Markham,5F7000C7-22B5-EB41-9EAD-EF87E7D23222
A26857,,Cymathaere,triplicata,United States,1966 Jul 21,Jim W. Markham,2A5BF8B3-C101-E84E-AC49-E6E6A0A6B47A
A26855,,Cymathaere,triplicata,United States,1966 Jul 20,Ken Baillie,9723D30D-501B-894F-B3EC-CD4859530897
A26858,,Cymathaere,triplicata,United States,1966 Jul 17,Patrick Chamut,145CF8AB-5FAE-A94A-81AB-D28DB3408A61
A26670,,Cymathaere,triplicata,United States,1966 Jul 16,Jim W. Markham,301D27C8-612D-1C41-B598-BE5E86DB9C0B
A26669,,Cymathaere,triplicata,United States,1966 Jul 16,Jim W. Markham,16298E83-785C-CD4E-863C-17BEB42A309B
A26377,,Cymathaere,triplicata,United States,1966 Jul 15,Jim W. Markham,74DE0E7D-DC2A-3443-A8D3-EF373D6E994A
A25922,,Cymathaere,triplicata,United States,1966 Jul 10,A. Cattell,8F686FFB-FB9B-4F45-9DA8-53F0A8F38AF9
A25920,,Cymathaere,triplicata,United States,1966 Jul 09,Patrick Chamut,12F4759C-EBD6-7548-A1E6-1EDDA7F4B236
A25921,,Cymathaere,triplicata,United States,1966 Jul 09,Patrick Chamut,29DC6933-4473-9042-8F41-2E75E45D344C
A25619,,Cymathaere,triplicata,United States,1966 Jul 07,Jim W. Markham,26D22545-69C5-824F-9CB5-A9BE5EE754A9
A25617,,Cymathaere,triplicata,United States,1966 Jul 07,Jim W. Markham,3D32ED62-6CA7-D343-9853-CB43D49E99F9
A25739,,Cymathaere,triplicata,United States,1966 Jul 07,A. Cattell,DE4FE914-8880-8249-9FEC-E8565D279AD0
A25132,,Cymathaere,triplicata,United States,1966 Jun 30,Ken Baillie,27BF67C3-AAB7-1A45-AADE-C27C89177C93
A25131,,Cymathaere,triplicata,United States,1966 Jun 30,Ken Baillie,EBAB83B1-82B9-9944-A19D-5B1B4F116336
A25133,,Cymathaere,triplicata,United States,1966 Jun 30,Ken Baillie,56EAF11D-AF64-7443-AC85-7BFE85B0EEBB
A23690,,Cymathaere,triplicata,United States,1965 Dec 08,Jim W. Markham,8BFF56C0-5A13-0D48-B879-3B7362B60077
A23691,,Cymathaere,triplicata,United States,1965 Dec 08,Jim W. Markham,F962FAE6-0E52-7445-AF0D-5956CD6421E9
A8201,,Cymathaere,triplicata,United States,1960 Jul 13,Tom B. Widdowson,B5DEBE37-A7F3-4640-A683-0B471B884A39
A8202,,Cymathaere,triplicata,United States,1960 Jul 13,Tom B. Widdowson,D9B2BD3A-556F-E94A-8D87-E5B8F6E07152
A8203,,Cymathaere,triplicata,United States,1960 Jul 13,Tom B. Widdowson,E7719BE5-12D6-874D-85C9-B0243351EF5F
A8204,,Cymathaere,triplicata,United States,1960 Jul 13,Tom B. Widdowson,E5776FF7-47C1-3F4E-80D2-BCCD80378A62
A9763,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,EEC39075-0701-B640-94C1-24388DCCB9E4
A9756,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,E10B9FA0-8DC9-1543-A884-8C7251AB2452
A9755,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,C163EBE5-0AFB-3F4B-B858-763235C0ED3E
A9757,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,BC9A0680-5640-F946-8353-00095D4C2DAA
A9762,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,CEFCCA6B-85BE-2C45-80A4-A3634DBE4C77
A9690,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,67FBA256-EBDE-5342-80C4-2562A86C7BCC
A9687,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,52066C40-50ED-C94A-813E-45B55437AC4E
A9689,,Cymathaere,triplicata,United States,1960 Jul 11,Tom B. Widdowson,962A3F5B-6193-B940-854B-39CC5171E82E
A20491,,Cymathaere,triplicata,United States,1965 Jun 11,R. Driskill,B8BC8D2C-2D26-C54E-B732-25F54E496D40
A20498,,Cymathaere,triplicata,United States,1965 Jun 11,R. Driskill,70155B10-9F81-4746-B1B8-99770DCB8E2A
A21138,,Cymathaere,triplicata,United States,1965 Jun 27,R. Driskill,E1808081-E5DD-F949-B833-13EED946E0A0
A21137,,Cymathaere,triplicata,United States,1965 Jun 27,R. Driskill,9689180B-7D44-374A-AC88-70C4C05C7986
A21135,,Cymathaere,triplicata,United States,1965 Jun 27,R. Driskill,398888A2-44B4-E442-BCBA-E70A4EA19066
A21093,,Cymathaere,triplicata,United States,1965 Jun 27,R. Driskill,87467384-AF5A-1D43-BE29-C39985542057
A21094,,Cymathaere,triplicata,United States,1965 Jun 27,R. Driskill,260A6199-DF58-8949-84B2-3DE02CBE2BA4
A21089,,Cymathaere,triplicata,United States,1965 Jun 27,Louis D. Druehl,D562860D-7AD1-E448-8847-A297BEF406F4
A20451,,Cymathaere,triplicata,United States,1965 Jun 11,Louis D. Druehl,D025F61E-5419-1744-9828-E66DA69B31D9
A20450,,Cymathaere,triplicata,United States,1965 Jun 11,Louis D. Druehl,AED8BAD1-935F-634E-A56A-6AF17DDD3EFA
A244,,Cymathaere,triplicata,Canada,1944 May 23,A.H. Hutchinson,B23A9B16-C92E-5D4B-9A36-60A9629302CE
A63278,,Cymathaere,triplicata,Canada,1908,John Macoun,B401A072-0AE5-AB48-9951-55E498C939C9
A63277,,Cymathaere,triplicata,Canada,1915 Jul,S. N.,1F18BA7E-DD0C-964A-A319-F1330BE0A691
A60426,,Cymathaere,triplicata,Canada,1979 Mar 10,Robert F. Scagel,5510A600-B28E-DB49-841C-A1DD0D435BA7
A60443,,Cymathaere,triplicata,Canada,1979 Apr 01,Eric Henry,CB520E29-8083-C948-906C-2087826705CE
A61204,,Cymathaere,triplicata,Canada,1979 Oct 06, Gayle I. Hansen,479C78C5-D70B-F646-B141-485960ACD254
A61205,,Cymathaere,triplicata,Canada,1979 Oct 06, Gayle I. Hansen,2FBF646F-E2B6-9D41-8F4E-B0D630B361D1
A43295,,Cymathaere,triplicata,Canada,1969 Spring,Louis D. Druehl,2674A4D4-122E-9942-ACC2-B8296A294A23
A54481,,Cymathaere,triplicata,Canada,1976 Apr 24,R. Foreman,D3D78F8C-02B7-8347-B713-5FF2AA02E732
A3996,,Cymathaere,triplicata,Canada,1959 Jun 05,Tom B. Widdowson,CE623FBB-669A-B64A-A766-56C0E16B0402
A7419,,Cymathaere,triplicata,Canada,1959 Jul 22,Tom B. Widdowson,687B9731-6D3F-C445-B36E-CCD5B952D1B0
A3172,,Cymathaere,triplicata,Canada,1958 May 06,Tom B. Widdowson,675A840C-9991-3843-975A-7F84773ED059
A7416,,Cymathaere,triplicata,Canada,1959 Jul 09,Tom B. Widdowson,57BC556D-9AD7-564A-9330-CE172294A465
A61493,,Cymathaere,triplicata,Canada,1979 Apr 01,Eric Henry,CFB8DBEC-7A2B-0648-99B8-088F7E644730
A61925,,Cymathaere,triplicata,Canada,1979 Jun 11, Gayle I. Hansen,907075F7-DE6C-974B-BCA3-12D3C9DC2D06
A43842,,Cymathaere,triplicata,Canada,1970 Sep 11,Danny R. Pace,FDE1D91A-A23D-3B48-907C-8A9A4E2A3CDD
A43843,,Cymathaere,triplicata,Canada,1970 Sep 17,Danny R. Pace,32BBE6C4-2545-154A-B359-9937335C1860
A3169,,Cymathaere,triplicata,Canada,1957 Jul 24,Tom B. Widdowson,1378541A-3E76-E54A-B55E-16267AC696D6
A3170,,Cymathaere,triplicata,Canada,1958 Jun 19,Tom B. Widdowson,E62A3902-87EC-594E-914C-23A9E35A8D96
A3171,,Cymathaere,triplicata,Canada,1957 Jun,Tom B. Widdowson,B70B7235-2ECC-A74A-BED9-C6BCF5F76150
A54207,,Cymathaere,triplicata,Canada,1970 May 28,R. Hooper,77F6DEF5-4F90-834C-BC06-499F6E43A70F
A48889,,Cymathaere,triplicata,Canada,1970 Sep 12,Dr. J. N. Norris,1E41486B-26BC-664C-969B-2B0342B11BDE
A48868,,Cymathaere,triplicata,Canada,1970 Sep 14,Dr. J. N. Norris,942079D4-BFCE-1542-93A3-1D1751065F63
A62378,,Cymathaere,triplicata,Canada,1980 Jul 26,David J. Garbary,5BFF901E-FE95-FC41-AD89-0313E291C2F7
A22188,,Cymathaere,triplicata,Canada,1965 Jul 05,J. Green,BFEFDD87-DA21-4747-B3F5-FAED5D078ABA
A22323,,Cymathaere,triplicata,Canada,1965 Jul 05,J. Green,E76460F8-7439-4242-8B8F-089169035475
A55334,,Cymathaere,triplicata,Canada,1976 Mar 30,C. Tanner,41CE31D4-F60E-0F42-906C-6353D97E4B08
A44202,,Cymathaere,triplicata,Canada,1971 Jan 16,Louis D. Druehl,F6A9F53A-367A-D940-B662-809FF29A24F2
A44005,,Cymathaere,triplicata,Canada,1971 Jan 16,Louis D. Druehl,B57D7EB8-FBB3-F045-AE09-A36477AE49EA
A55289,,Cymathaere,triplicata,Canada,1976 Mar 30,C. Tanner,14C791FE-C3BC-B04F-8FE0-B3E66EB64C3F
A42130,,Cymathaere,triplicata,Canada,1969 Aug 07,Ken Baillie,65408272-7048-A14D-A9D4-693797579F08
A38675,,Cymathaere,triplicata,Canada,1968 Sep 04,Jim W. Markham,A2AFF481-66FD-184E-A023-CF2A51948AF5
A35771,,Cymathaere,triplicata,Canada,1968 Aug 12,Jim W. Markham,F3521D6D-B07C-5A41-8AF0-65921AD7A718
A35685,,Cymathaere,triplicata,Canada,1968 Aug 11,Jim W. Markham,2B335BD7-BA20-DB42-BBE5-B4792E72D62C
A35684,,Cymathaere,triplicata,Canada,1968 Aug 10,Jim W. Markham,7C47F5D1-4697-434A-893D-F6C7510AB93D
A35608,,Cymathaere,triplicata,Canada,1968 Aug 10,Jim W. Markham,2C3065FB-BF3B-9147-8BFF-8C094BA382A2
A36144,,Cymathaere,triplicata,Canada,1968 Aug 09,Jim W. Markham,A1A46355-DA21-A540-9557-2C25A9B3CDDF
A32360,,Cymathaere,triplicata,Canada,1967 Dec 20,Ken Baillie,9704E60B-26D8-514C-9EAD-2F8EB0F2B48C
A32030,,Cymathaere,triplicata,Canada,1967 Oct 07,Patrick Chamut,F1115203-A6F2-FE4C-875B-4966AC846381
A31801,,Cymathaere,triplicata,Canada,1967 Aug 18,Patrick Chamut,71E5FF8A-4B9B-6C45-A6F5-5857A906993A
A34959,,Cymathaere,triplicata,Canada,1968 Jul 10,Patrick Chamut,82D5ABA3-D9CD-DF43-8BD7-94E519A8C267
A35534,,Cymathaere,triplicata,Canada,1968 Aug 09,Jim W. Markham,B36BA0F4-48FD-CF46-9B25-97713DDE43FD
A34027,,Cymathaere,triplicata,Canada,1968 Jun 10,Ken Baillie,B94E94D9-6F47-D54F-9430-66D50A9FA050
A45509,,Cymathaere,triplicata,Canada,1971 May 12,Peter R. Newroth,540D3FCB-388D-DD4D-B109-FA7D000383F5
A42861,,Cymathaere,triplicata,Canada,1968 Apr 19,Jim W. Markham,4ABFACF7-2E64-F742-9CDD-31156A981531
A31984,,Cymathaere,triplicata,Canada,1967 Sep 02,Patrick Chamut,2E0195C0-754C-184E-8FBA-90A2FBA0A506
A31985,,Cymathaere,triplicata,Canada,1967 Sep 03,Patrick Chamut,285FCB3D-95ED-6E4C-BA23-6746891E448F
A29815,,Cymathaere,triplicata,Canada,1967 Jul 07,Patrick Chamut,916160FC-64BA-DA4F-A220-128349D44D89
A30777,,Cymathaere,triplicata,Canada,1967 Jun 22,Ken Baillie,C82965F9-C8F8-C140-9626-0220ED7466B4
A20156,,Cymathaere,triplicata,Canada,1967 Jun 11,Ken Baillie,911C5451-3DE2-0E4F-B4E9-BB50907A87DF
A28990,,Cymathaere,triplicata,Canada,1967 May 12,Ken Baillie,59B2EFFB-FBB7-924B-B5F1-CC9DB71F5D82
A29471,,Cymathaere,triplicata,Canada,1967 May 13,Ken Baillie,0C8BBEB4-BEF8-3F4C-8CD6-7531C4BB4420
A15420,,Cymathaere,triplicata,Canada,1962 Jun 30,Tom B. Widdowson,BE26920C-5C5A-BB4D-B677-812CDA78E2D3
A15422,,Cymathaere,triplicata,Canada,1962 Jun 30,Tom B. Widdowson,CBF2D5B0-D5C9-AA46-B40A-3F6067D18268
A15421,,Cymathaere,triplicata,Canada,1962 Jun 30,Tom B. Widdowson,246937CA-606A-BD47-996C-B8CA7F07BDA9
A15339,,Cymathaere,triplicata,Canada,1962 Jun 30,Tom B. Widdowson,2514F436-3115-3B49-9CF9-7F115540427C
A15808,,Cymathaere,triplicata,Canada,1962 Jul 04,Tom B. Widdowson,EDE9A2CC-7DD9-7B40-8F19-ADBAC35ADC74
A15809,,Cymathaere,triplicata,Canada,1962 Jul 04,Tom B. Widdowson,1F6FD465-62DC-0F48-9924-5CD9B8AC4D98
A15977,,Cymathaere,triplicata,Canada,1962 Jul 04,Tom B. Widdowson,A14C092B-5E74-324C-B13B-0071256BD1AE
A2080,,Cymathaere,triplicata,Canada,1953,Robert F. Scagel,32DA5E6F-087C-6A4E-9C9A-25B3B98FA5A6
A28836,,Cymathaere,triplicata,Canada,1962 Jun 30,Tom B. Widdowson,29A6507D-AA53-C642-A017-99487A5F133C
A15067,,Cymathaere,triplicata,Canada,1962 Jun 29,Tom B. Widdowson,1CB347C7-FB85-6E42-B78D-3DA0AE47564F
A15068,,Cymathaere,triplicata,Canada,1962 Jun 29,Louis D. Druehl,40E514A2-0A46-D04C-ABC5-62E1CD06C1A0
A48899,,Cymathaere,triplicata,Canada,1970 Sep 14,J. N. Norris,B7D1DB53-9802-3544-A64F-E81745768C9B
A15243,,Cymathaere,triplicata,Canada,1962 Jul 02,Tom B. Widdowson,664FC5BE-E707-FD45-B2B3-281BD53DBACE
A15425,,Cymathaere,triplicata,Canada,1962 Jul 02,Tom B. Widdowson,7ABDB79B-8FAA-5442-A6A1-34BF1C18E6D1
A15036,,Cymathaere,triplicata,Canada,1962 Jul 02,Tom B. Widdowson,5B2BA052-1E40-5440-AF00-D1D213F23841
A15426,,Cymathaere,triplicata,Canada,1962 Jul 02,Tom B. Widdowson,0325654E-8D6F-3F4C-B3C5-900CCCF15213
A15423,,Cymathaere,triplicata,Canada,1962 Jul 02,Tom B. Widdowson,9DBF1188-3F12-FC45-8E35-EF761609985E
A15277,,Cymathaere,triplicata,Canada,1962 Jul 02,Tom B. Widdowson,50E0FA62-F1CC-D942-8E27-BA975E54DC74
A15248,,Cymathaere,triplicata,Canada,1962 Jul 01,Robert K.S. Lee,3047826B-198A-2D40-9C3C-E86F2FDBF12B
A43697,,Cymathaere,triplicata,Canada,1970 Sep 12,Danny R. Pace,5D38B860-7441-5145-B939-310EFF9590B9
A43698,,Cymathaere,triplicata,Canada,1970 Sep 14,Danny R. Pace,D713FCEA-69B2-B14B-9C20-ECC1410972E3
A44203,,Cymathaere,triplicata,Canada,1971 Jan 18,Louis D. Druehl,D6A60E3F-4064-B242-813D-891F62665D8F
A44204,,Cymathaere,triplicata,Canada,1971 Jan 18,Louis D. Druehl,1ADD478C-5C35-064C-A9A5-876B8BBAD617
A45426,,Cymathaere,triplicata,Canada,1971 Apr 23,Peter R. Newroth,1AAECB93-533D-8145-BCF3-783D397B6F33
A17039,,Cymathaere,triplicata,Canada,1962 Jul 05,Tom B. Widdowson,2831D0B5-C3A2-0642-BE3A-2861E96F33A3
A28853,,Cymathaere,triplicata,Canada,1962 Jul 05,Tom B. Widdowson,C2BFE101-4DA2-9F4E-9336-03404DFE5C85
A17161,,Cymathaere,triplicata,Canada,1962 Jul 04,Robert K.S. Lee,A65EED24-523E-CE4A-814B-DA4B286559DD
A21365,,Cymathaere,triplicata,Canada,1965 Jul 06,R. Driskill,CC7A0E80-D8DD-BC41-9232-FA502A68D307
A22880,,Cymathaere,triplicata,Canada,1965 Jul 06,R. Driskill,E0652A7B-0B7E-3246-B57D-21E792266ADD
A22881,,Cymathaere,triplicata,Canada,1965 Jul 06,R. Driskill,AB50E908-5504-5442-B2DD-692080907B62
A22879,,Cymathaere,triplicata,Canada,1965 Jul 06,R. Driskill,866CA102-4F4F-7447-856A-78A03705DA9E
A21730,,Cymathaere,triplicata,Canada,1965 Jul 04,Arthur C. Mathieson,8018B3F2-59CD-A74D-89FB-ED6B742C13D1
A21729,,Cymathaere,triplicata,Canada,1965 Jul 04,Arthur C. Mathieson,C66952E7-E616-9F4E-93F7-108554F5A211
A22988,,Cymathaere,triplicata,Canada,1965 Jul 03,R. Driskill,2A120F17-C9F4-6B40-B643-42B0D0B92F36
A19416,,Cymathaere,triplicata,Canada,1964 Oct 07,Robert K.S. Lee,725B473C-D36A-BA49-A24E-A1866624FBF6
A19110,,Cymathaere,triplicata,Canada,1964 Jul 10,D. W.,110C7554-2098-CA44-A403-3780FBEE773C
A19109,,Cymathaere,triplicata,Canada,1964 Jul 10,D. W.,62CDF09E-CA82-2448-96DA-A26B42BEEAC3
A19100,,Cymathaere,triplicata,Canada,1964 Jul 10,D. W.,5B583763-9F13-744F-B842-E34064FFFBB3
A19377,,Cymathaere,triplicata,Canada,1964 Jul 09,Louis D. Druehl,E32400BD-ED03-E844-91BB-45DB4C2BC553
A19430,,Cymathaere,triplicata,Canada,1964 Aug 07,Louis D. Druehl,9CE263F7-CB27-CC4B-AAB9-4C9A524E405E
A30266,,Cymathaere,triplicata,Canada,1967 Jul 08,Patrick Chamut,DBEC331A-FFDD-1C4C-8A8B-BCEC42D07A6E
A16390,,Cymathaere,triplicata,Canada,1963 Jun 26,Robert K.S. Lee,7DF318F1-08FF-1545-A6D7-BD9CE39A6689
A42897,,Cymathaere,triplicata,Canada,1970 Apr 10,A. R. O. Chapman,A431429F-6EB0-1E42-A23E-C26ED1368FB0
A52713,,Cymathaere,triplicata,Canada,1975 Apr 15,Thomas F. Mumford Jr.,84E5097F-64F8-8D40-A1D2-A64C10CB21E4
A52875,,Cymathaere,triplicata,Canada,1975 Apr 15,G. C. Court,F4ABA320-5F6C-3642-AD72-4FE97D5A4E55
A53876,,Cymathaere,triplicata,Canada,1975 Apr 15,G. C. Court,EBC99DF8-A365-5744-975A-DC935CE7307D
A53952,,Cymathaere,triplicata,Canada,1975 Jun 25,Tom B. Widdowson,DD507250-4F25-CD46-B615-6CA5A5A1B75E
A39565,,Cymathaere,triplicata,Canada,1969 Apr 19,Jim W. Markham,4FF20132-CFD3-7040-9124-95206859D9D9
A31798,,Cymathaere,triplicata,Canada,1967 Aug 16,Patrick Chamut,0D006A47-1BE2-B143-9C6A-FA8C143F0D6F
A34872,,Cymathaere,triplicata,Canada,1968 Jul 23,Patrick Chamut,B1F71E95-A3B4-CC40-ADB1-56E7253A9129
A38676,,Cymathaere,triplicata,Canada,1968 Oct 13,Patrick Chamut,CA709D1D-8027-DA4C-BA49-47E43266A1ED
A38677,,Cymathaere,triplicata,Canada,1968 Nov 03,Danny R. Pace,E340B0B4-A42A-7B4C-8DC4-A4E5FA00A939
A39564,,Cymathaere,triplicata,Canada,1968 Dec 19,Danny R. Pace,AEA2EDAC-5005-D748-9DFC-77F9EA3D2F00
A33262,,Cymathaere,triplicata,Canada,1968 May 15,Patrick Chamut,EB3AF748-3CAE-7843-877F-3907EC6FCE4C
A33448,,Cymathaere,triplicata,Canada,1968 May 28,Patrick Chamut,AA0984FC-A16B-4F4A-A9FD-C42D12551F5E
A34117,,Cymathaere,triplicata,Canada,1968 Jun 12,Patrick Chamut,6E488E58-5B21-E541-9C1C-970902FD2517
A34324,,Cymathaere,triplicata,Canada,1968 Jun 12,P. Harrison,05339E11-CB7E-2740-BBA0-83E0AD052A74
A33447,,Cymathaere,triplicata,Canada,1968 May 15,Patrick Chamut,4818830C-61B7-0146-93EC-D2F3AA167D28
A42233,,Cymathaere,triplicata,Canada,1969 May 14,Ken Baillie,95C94935-5738-DB4F-B016-BAD2BA89BCC8
A31802,,Cymathaere,triplicata,Canada,1967 Sep 03,Ken Baillie,1CD1D1D3-28EB-A14C-B927-03502D151807
A31800,,Cymathaere,triplicata,Canada,1967 Aug 17,Patrick Chamut,47F35BA4-B2F3-6344-BE1E-C9D8DB620F80
A31478,,Cymathaere,triplicata,Canada,1967 Aug 05,Patrick Chamut,62ECDD5D-D27C-0A4A-B88D-352E9A2F9196
A29852,,Cymathaere,triplicata,Canada,1967 May 25,Patrick Chamut,9E44DA11-19E2-7D45-B83B-ADAC1CE1625E
A30776,,Cymathaere,triplicata,Canada,1967 Jun 21,Patrick Chamut,1A0C609B-A1AC-F141-92B3-031F3B6AA2C1
A29968,,Cymathaere,triplicata,Canada,1967 Jul 06,Patrick Chamut,5B261B73-CC4E-674B-8B8A-00A8E28C85A4
A30560,,Cymathaere,triplicata,Canada,1967 Jul 20,Ken Baillie,B4DA592D-7E7B-F746-92A1-EEBA7B1B40CD
A14759,,Cymathaere,triplicata,Canada,1962 May 21,Louis D. Druehl,CC12D44B-330E-F143-B4A2-9C3AF2EACDB2
A14763,,Cymathaere,triplicata,Canada,1962 May 21,Louis D. Druehl,11AE5E92-E421-CB40-A232-73991E304B75
A14764,,Cymathaere,triplicata,Canada,1962 May 21,Louis D. Druehl,F6EB16B6-A5B9-CE46-98E6-5FE675102CD9
A58458,,Cymathaere,triplicata,Canada,1977 May 26,R. Foreman,327CEB47-8664-8241-AC7D-1F11766739C9
A54032,,Cymathaere,triplicata,Canada,1975 Jun 24,R. Foreman,1760B5F7-CB46-8D42-83D7-CB83B5F3FF11
A3292,,Cymathaere,triplicata,Canada,1945 Sep 23,A.H. Hutchinson,60B3AE54-A768-1549-B416-D46216C6192D
A62105,,Cymathaere,triplicata,Canada,1979 May 14,Herb Vandermeulen,7F869A13-88D8-9A4A-AE2D-D68BA01A19D3
A47023,,Cymathaere,triplicata,Canada,1972 Jun 28,J. Turney,A9666B7A-B7D4-C044-AA74-29024B34D73A
A54084,,Cymathaere,triplicata,Canada,1975 Jun 25,S. Johnson,4176CD26-0F28-3F4B-BF8D-6BBF58879B74
A53578,,Cymathaere,triplicata,Canada,1975 Jun 25,S. Johnson,7C5792FF-427C-6B4F-B5E4-CFF48A0632C2
A60795,,Cymathaere,triplicata,Canada,1979 Jul 21,David J. Garbary,6EF0900D-339B-CE4C-B0A2-DD617418E2C9
A60794,,Cymathaere,triplicata,Canada,1979 Jul 17,David J. Garbary,0B1E3051-B56D-0F4A-96EB-E884D08E72AE
A61144,,Cymathaere,triplicata,Canada,1979 Sep 05,Larry T. Golden,EE79B57D-CB75-FD49-994E-FF469F726C86
A39566,,Cymathaere,triplicata,Canada,1944 Aug 18,R. W. Pillsbury,7A2D9A20-F94B-964F-A50D-15DCE5589D02
A11721,,Cymathaere,triplicata,United States,1956 Jul 20,Robert F. Scagel,472DDA00-FE3E-FD44-88A3-43F2226BA8FF
A11722,,Cymathaere,triplicata,United States,1956 Jul 20,Robert F. Scagel,817F4CCA-B7A5-F14E-92F2-6B73FDBAB425
